baseline,seed,num_agents,success,success_rate,solver,failure_reason,instance_makespan,lower_bound_steps,lower_bound_distance,makespan_over_lower_bound,sum_of_costs,waiting_time_agent_steps,throughput_tasks_per_1000_steps,conflicts_total,elapsed_assignment_s,elapsed_planner_s,elapsed_s,starts_json,goals_json,diagnostics_json
prioritized_planning_default_order,0,10,True,1.0,prioritized_graph_astar,,85,85,75900.0,1.0,627,223,117.6470588235294,0,0.0,0.07643160001316573,0.07643160001316573,"{""agv_0"": ""2844"", ""agv_1"": ""0588"", ""agv_2"": ""0538"", ""agv_3"": ""2884"", ""agv_4"": ""2231"", ""agv_5"": ""2393"", ""agv_6"": ""2321"", ""agv_7"": ""2931"", ""agv_8"": ""2433"", ""agv_9"": ""2461""}","{""agv_0"": ""0398"", ""agv_1"": ""2697"", ""agv_2"": ""2437"", ""agv_3"": ""0022"", ""agv_4"": ""2293"", ""agv_5"": ""0256"", ""agv_6"": ""2743"", ""agv_7"": ""2224"", ""agv_8"": ""2581"", ""agv_9"": ""0206""}","{""assignment"": ""fixed_agent_goal_pairs"", ""baseline_note"": ""graph-native prioritized planning in default agent order"", ""external_backend_enabled"": false}"
priority_search,0,10,True,1.0,priority_search,,85,85,75900.0,1.0,627,223,117.6470588235294,0,0.0,0.1146127000101842,0.1146127000101842,"{""agv_0"": ""2844"", ""agv_1"": ""0588"", ""agv_2"": ""0538"", ""agv_3"": ""2884"", ""agv_4"": ""2231"", ""agv_5"": ""2393"", ""agv_6"": ""2321"", ""agv_7"": ""2931"", ""agv_8"": ""2433"", ""agv_9"": ""2461""}","{""agv_0"": ""0398"", ""agv_1"": ""2697"", ""agv_2"": ""2437"", ""agv_3"": ""0022"", ""agv_4"": ""2293"", ""agv_5"": ""0256"", ""agv_6"": ""2743"", ""agv_7"": ""2224"", ""agv_8"": ""2581"", ""agv_9"": ""0206""}","{""base_solver"": ""prioritized_graph_astar"", ""baseline_note"": ""multi-order prioritized planning; full PBS constraint tree deferred"", ""orders_tried"": 1, ""priority_order"": [""agv_0"", ""agv_1"", ""agv_2"", ""agv_3"", ""agv_4"", ""agv_5"", ""agv_6"", ""agv_7"", ""agv_8"", ""agv_9""]}"
hungarian_prioritized_planning,0,10,False,0.0,prioritized_graph_astar,prioritized_block,0,74,65900.0,inf,0,0,0.0,0,0.0008333000005222857,0.8052329999918584,0.8060662999923807,"{""agv_0"": ""2844"", ""agv_1"": ""0588"", ""agv_2"": ""0538"", ""agv_3"": ""2884"", ""agv_4"": ""2231"", ""agv_5"": ""2393"", ""agv_6"": ""2321"", ""agv_7"": ""2931"", ""agv_8"": ""2433"", ""agv_9"": ""2461""}","{""agv_0"": ""2743"", ""agv_1"": ""0206"", ""agv_2"": ""0256"", ""agv_3"": ""2437"", ""agv_4"": ""0022"", ""agv_5"": ""2224"", ""agv_6"": ""0398"", ""agv_7"": ""2697"", ""agv_8"": ""2293"", ""agv_9"": ""2581""}","{""assigned_agents"": 10, ""assignment"": ""hungarian_goal"", ""baseline_note"": ""Hungarian assignment + graph-native prioritized planning"", ""external_backend_enabled"": false, ""failed_agent"": ""agv_5"", ""failure_subtype"": ""prioritized_block""}"
fifo_nearest_prioritized_planning,0,10,False,0.0,prioritized_graph_astar,prioritized_block,0,81,72700.0,inf,0,0,0.0,0,0.000371000001905486,0.7003924999880837,0.7007634999899892,"{""agv_0"": ""2844"", ""agv_1"": ""0588"", ""agv_2"": ""0538"", ""agv_3"": ""2884"", ""agv_4"": ""2231"", ""agv_5"": ""2393"", ""agv_6"": ""2321"", ""agv_7"": ""2931"", ""agv_8"": ""2433"", ""agv_9"": ""2461""}","{""agv_0"": ""2437"", ""agv_1"": ""2293"", ""agv_2"": ""0398"", ""agv_3"": ""2743"", ""agv_4"": ""0022"", ""agv_5"": ""2581"", ""agv_6"": ""0256"", ""agv_7"": ""2224"", ""agv_8"": ""0206"", ""agv_9"": ""2697""}","{""assigned_agents"": 10, ""assignment"": ""fifo_nearest_goal"", ""baseline_note"": ""FIFO-nearest assignment + graph-native prioritized planning"", ""external_backend_enabled"": false, ""failed_agent"": ""agv_5"", ""failure_subtype"": ""prioritized_block""}"
opentcs_default_emulator,0,10,False,0.0,opentcs_default_emulator,timeout,512,92,80900.0,inf,304,4816,0.0,0,0.00045730000420007855,0.091403900005389,0.09186120000958908,"{""agv_0"": ""2844"", ""agv_1"": ""0588"", ""agv_2"": ""0538"", ""agv_3"": ""2884"", ""agv_4"": ""2231"", ""agv_5"": ""2393"", ""agv_6"": ""2321"", ""agv_7"": ""2931"", ""agv_8"": ""2433"", ""agv_9"": ""2461""}","{""agv_0"": ""2743"", ""agv_1"": ""0206"", ""agv_2"": ""0256"", ""agv_3"": ""2224"", ""agv_4"": ""0022"", ""agv_5"": ""0398"", ""agv_6"": ""2293"", ""agv_7"": ""2581"", ""agv_8"": ""2437"", ""agv_9"": ""2697""}","{""assigned_agents"": 10, ""assignment"": ""opentcs_default_dispatcher_vehicle_first_cost_greedy"", ""blocked_move_requests"": 1449, ""deadlock_recovery"": ""not_emulated"", ""emulation_scope"": ""dispatcher_router_scheduler"", ""queued_retries"": 1446, ""routes"": {""agv_0"": 27, ""agv_1"": 26, ""agv_2"": 26, ""agv_3"": 41, ""agv_4"": 16, ""agv_5"": 69, ""agv_6"": 63, ""agv_7"": 48, ""agv_8"": 92, ""agv_9"": 33}, ""routing"": ""individual_shortest_path_distance"", ""scheduler"": ""queued_resource_allocator_emulator"", ""timed_out"": true}"
prioritized_planning_default_order,1,10,True,1.0,prioritized_graph_astar,,86,86,75400.0,1.0,540,320,116.27906976744185,0,0.0,0.08149710000725463,0.08149710000725463,"{""agv_0"": ""0513"", ""agv_1"": ""2456"", ""agv_2"": ""0043"", ""agv_3"": ""0545"", ""agv_4"": ""0356"", ""agv_5"": ""2607"", ""agv_6"": ""2057"", ""agv_7"": ""2892"", ""agv_8"": ""0273"", ""agv_9"": ""0925""}","{""agv_0"": ""2890"", ""agv_1"": ""2231"", ""agv_2"": ""2780"", ""agv_3"": ""2708"", ""agv_4"": ""0197"", ""agv_5"": ""2722"", ""agv_6"": ""0595"", ""agv_7"": ""0724"", ""agv_8"": ""0525"", ""agv_9"": ""2303""}","{""assignment"": ""fixed_agent_goal_pairs"", ""baseline_note"": ""graph-native prioritized planning in default agent order"", ""external_backend_enabled"": false}"
priority_search,1,10,True,1.0,priority_search,,86,86,75400.0,1.0,540,320,116.27906976744185,0,0.0,0.12728919999790378,0.12728919999790378,"{""agv_0"": ""0513"", ""agv_1"": ""2456"", ""agv_2"": ""0043"", ""agv_3"": ""0545"", ""agv_4"": ""0356"", ""agv_5"": ""2607"", ""agv_6"": ""2057"", ""agv_7"": ""2892"", ""agv_8"": ""0273"", ""agv_9"": ""0925""}","{""agv_0"": ""2890"", ""agv_1"": ""2231"", ""agv_2"": ""2780"", ""agv_3"": ""2708"", ""agv_4"": ""0197"", ""agv_5"": ""2722"", ""agv_6"": ""0595"", ""agv_7"": ""0724"", ""agv_8"": ""0525"", ""agv_9"": ""2303""}","{""base_solver"": ""prioritized_graph_astar"", ""baseline_note"": ""multi-order prioritized planning; full PBS constraint tree deferred"", ""orders_tried"": 1, ""priority_order"": [""agv_0"", ""agv_1"", ""agv_2"", ""agv_3"", ""agv_4"", ""agv_5"", ""agv_6"", ""agv_7"", ""agv_8"", ""agv_9""]}"
hungarian_prioritized_planning,1,10,True,1.0,prioritized_graph_astar,,81,81,73750.0,1.0,342,468,123.45679012345678,0,0.0008071000047493726,0.07409880000341218,0.07490590000816155,"{""agv_0"": ""0513"", ""agv_1"": ""2456"", ""agv_2"": ""0043"", ""agv_3"": ""0545"", ""agv_4"": ""0356"", ""agv_5"": ""2607"", ""agv_6"": ""2057"", ""agv_7"": ""2892"", ""agv_8"": ""0273"", ""agv_9"": ""0925""}","{""agv_0"": ""0525"", ""agv_1"": ""2303"", ""agv_2"": ""2708"", ""agv_3"": ""0595"", ""agv_4"": ""2231"", ""agv_5"": ""2890"", ""agv_6"": ""2780"", ""agv_7"": ""2722"", ""agv_8"": ""0197"", ""agv_9"": ""0724""}","{""assigned_agents"": 10, ""assignment"": ""hungarian_goal"", ""baseline_note"": ""Hungarian assignment + graph-native prioritized planning"", ""external_backend_enabled"": false}"
fifo_nearest_prioritized_planning,1,10,True,1.0,prioritized_graph_astar,,59,59,53900.0,1.0,382,208,169.4915254237288,0,0.00038329999370034784,0.051267999995616265,0.05165129998931661,"{""agv_0"": ""0513"", ""agv_1"": ""2456"", ""agv_2"": ""0043"", ""agv_3"": ""0545"", ""agv_4"": ""0356"", ""agv_5"": ""2607"", ""agv_6"": ""2057"", ""agv_7"": ""2892"", ""agv_8"": ""0273"", ""agv_9"": ""0925""}","{""agv_0"": ""0595"", ""agv_1"": ""2231"", ""agv_2"": ""0724"", ""agv_3"": ""0197"", ""agv_4"": ""0525"", ""agv_5"": ""2708"", ""agv_6"": ""2890"", ""agv_7"": ""2780"", ""agv_8"": ""2303"", ""agv_9"": ""2722""}","{""assigned_agents"": 10, ""assignment"": ""fifo_nearest_goal"", ""baseline_note"": ""FIFO-nearest assignment + graph-native prioritized planning"", ""external_backend_enabled"": false}"
opentcs_default_emulator,1,10,False,0.0,opentcs_default_emulator,timeout,512,71,63950.0,inf,366,4754,0.0,0,0.00038810000114608556,0.09024109999882057,0.09062919999996666,"{""agv_0"": ""0513"", ""agv_1"": ""2456"", ""agv_2"": ""0043"", ""agv_3"": ""0545"", ""agv_4"": ""0356"", ""agv_5"": ""2607"", ""agv_6"": ""2057"", ""agv_7"": ""2892"", ""agv_8"": ""0273"", ""agv_9"": ""0925""}","{""agv_0"": ""0525"", ""agv_1"": ""2231"", ""agv_2"": ""0595"", ""agv_3"": ""0724"", ""agv_4"": ""0197"", ""agv_5"": ""2722"", ""agv_6"": ""2780"", ""agv_7"": ""2890"", ""agv_8"": ""2303"", ""agv_9"": ""2708""}","{""assigned_agents"": 10, ""assignment"": ""opentcs_default_dispatcher_vehicle_first_cost_greedy"", ""blocked_move_requests"": 977, ""deadlock_recovery"": ""not_emulated"", ""emulation_scope"": ""dispatcher_router_scheduler"", ""queued_retries"": 972, ""routes"": {""agv_0"": 17, ""agv_1"": 35, ""agv_2"": 33, ""agv_3"": 39, ""agv_4"": 58, ""agv_5"": 26, ""agv_6"": 10, ""agv_7"": 38, ""agv_8"": 59, ""agv_9"": 71}, ""routing"": ""individual_shortest_path_distance"", ""scheduler"": ""queued_resource_allocator_emulator"", ""timed_out"": true}"
